"VoZI3 href","UBTQd src","s954l","k9MOS","W990N","JBNAy","PneWB","Hc9FH"
"https://www.nintendo.com/us/store/products/xenoblade-chronicles-x-definitive-edition-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/609e837a4e094898a2713aecf24d22bd_1024","Xenoblade Chronicles™ X: Definitive Edition","3/20/25","$59.99","Regular Price:","Games",""
"https://www.nintendo.com/us/store/products/donkey-kong-country-returns-hd-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/60f29fafdcfe4b42ac2b74dd930fd620_1024","Donkey Kong Country™ Returns HD","1/16/25","$59.99","Regular Price:","Games","Free demo"
"https://www.nintendo.com/us/store/products/fitness-boxing-3-your-personal-trainer-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/38a6ead82da44173a9e1e9aaab3b467b_1024","Fitness Boxing 3: Your Personal Trainer","12/5/24","$49.99","Regular Price:","Games","Free demo"
"https://www.nintendo.com/us/store/products/mario-and-luigi-brothership-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/43f1dce5d6f44383a832f4135d0b7bf5_1024","Mario & Luigi™: Brothership","11/7/24","$59.99","Regular Price:","Games",""
"https://www.nintendo.com/us/store/products/lunar-remastered-collection-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/29b6eb764cca410cbe28d36d7309a03b_1024","LUNAR Remastered Collection","4/18/25","$49.99","Regular Price:","Games","New!"
"https://www.nintendo.com/us/store/products/rusty-rabbit-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/ad0d1b371c4345b7909c638330818ad2_1024","Rusty Rabbit","4/17/25","$19.99","Regular Price:","Games","New!"
"https://www.nintendo.com/us/store/products/phantom-breaker-battle-grounds-ultimate-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/5dc6aa8f296a4eb7a6decd5ab92e2f69_1024","Phantom Breaker: Battle Grounds Ultimate","4/17/25","$24.99","Regular Price:","Games","New!"
"https://www.nintendo.com/us/store/products/monument-valley-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/79c63e20d4734081b79cc6ca4197c2ee_1024","Monument Valley","4/15/25","$9.99","Regular Price:","Games","New!"
"https://www.nintendo.com/us/store/products/monument-valley-2-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/af94dc10a3054c738b17ccba4b4fc2f8_1024","Monument Valley 2","4/15/25","$9.99","Regular Price:","Games","New!"
"https://www.nintendo.com/us/store/products/star-overdrive-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/aee916f32fc648809ab5269eb24e3132_1024","Star Overdrive","4/10/25","$34.99","Regular Price:","Games","New!"
"https://www.nintendo.com/us/store/products/pilo-and-the-holobook-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/47e2a7488e7646538da19c25dae653cb_1024","Pilo and the Holobook","4/10/25","$12.99","Current Price:","Games","Sale ends:"
"https://www.nintendo.com/us/store/products/progress-orders-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/24cdf968e10e473f8aea56b5cc28eb66_1024","PROGRESS ORDERS","4/10/25","$19.99","Regular Price:","Games","New!"
"https://www.nintendo.com/us/store/products/battlefield-waltz-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/0b0e620cc98c4b7ba7d12d65b70d1a66_1024","Battlefield Waltz","4/8/25","$49.99","Regular Price:","Games",""
"https://www.nintendo.com/us/store/products/the-renovator-origins-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/4169bf23ccc3443aa023a596356334cc_1024","The Renovator: Origins","4/4/25","$14.99","Regular Price:","Games",""
"https://www.nintendo.com/us/store/products/care-bears-unlock-the-magic-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/8361e8e1bcea4eae83f1329eb2d53dd7_1024","Care Bears : Unlock The Magic","3/27/25","$29.99","Regular Price:","Games",""
"https://www.nintendo.com/us/store/products/saga-frontier-2-remastered-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/b6d6c7b3191d4123b30392f8230278cd_1024","SaGa Frontier 2 Remastered","3/27/25","$29.99","Regular Price:","Games",""
"https://www.nintendo.com/us/store/products/disney-villains-cursed-cafe-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/6b62dc93160444af866f0cdadb3571fb_1024","Disney Villains Cursed Café","3/27/25","$14.99","Regular Price:","Games",""
"https://www.nintendo.com/us/store/products/rift-of-the-necrodancer-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/d4c6dd06a01247e5b1aa9bcad613a9c8_1024","Rift of the NecroDancer","3/27/25","$19.99","Regular Price:","Games",""
"https://www.nintendo.com/us/store/products/bubble-ghost-remake-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/c367c94f8f774cd990ccc89bee5ebccc_1024","Bubble Ghost Remake","3/27/25","$19.99","Regular Price:","Games","Free demo"
"https://www.nintendo.com/us/store/products/mlb-the-show-25-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/91847c84bdad4883a748ddfe17c41802_1024","MLB® The Show™ 25","3/18/25","$59.99","Regular Price:","Games",""
"https://www.nintendo.com/us/store/products/beyond-the-ice-palace-2-switch/","https://assets.nintendo.com/image/fetch/q_auto/f_auto/https://atum-img-lp1.cdn.nintendo.net/i/c/ee77b7c249544a4482d1cb13360196d5_1024","Beyond the Ice Palace 2","3/11/25","$19.99","Regular Price:","Games",""
